"shopId","shopName"
23315,TOKOHOBBY.ID
70139,Jean Priscilla
86080,SMARTSHOP 727
87842,ESHA MAGIC SHOP
89263,Alfatihah Store 9
91478,Trexcycle Indonesia
91675,JCM House
94622,Kiosku
102386,bfs123
104087,intense
104935,Longjohn / Baju winter
109207,JooShop
112090,CHRISTY  Shop
112468,lbagstore
114406,Adeline Stor3
115909,elfs shop manfashion
117323,Nyonya Karsih Shop
120770,Come and Buy
123014,NOBIKOM
123968,Galeri Medika
125604,Ahyumi Shop
126114,Sugaru Arena
128411,Rezan 07 Store
128927,girly.shop
136882,Radju Corporate
137077,Metsu Shop
143198,montespro
147714,M2 shop
151325,FanTasMurmer
152573,Irzah Shop
152791,Adekmungil babyshop
155057,SINGLETREK OFFICIAL
155975,Toko Lion975
157153,TheBestTrader
161622,Ivoryshop
162039,klikmystore
162559,Toko Ajer
163729,WIN SHOP SOLO
164600,Bangzon
165982,elltopshop
166533,SepedaLova
168294,diavorshop
168731,yalieshop
170263,BAJU BAYI &amp; ANAK IMPOR
180780,Serba Organizer
181269,Pondok Arloji Shop
185190,toko jam kimberly
196729,Oemah Herborist
200427,Istana Sepeda
204368,ogahrepot
209441,Lady Freya
210731,stereophonic
215830,nitawacth
218450,Mega E
219601,GUDANG1 Official
220042,Bismillah Store9
222513,Ayam Potong Rayyan
228349,riza astuti
229616,compassindo
231934,Eriza Butik
232631,Gravitasi Sport
239306,Barokah Medical
242300,Sehat Itu Rejeki
243998,Los Grosir
244641,jambranded
244797,HobbyOne
246424,moermer
248285,Dapur Adik
254716,VAPOR LAB
276888,Gesunde
281888,Chobzter Vapor
286215,MyRyu store
288080,R Supplement Center
292340,Nay &amp; Nadh Toys
292460,Toko_allstore
302198,Agen Jilbab Murah
313399,belanjamurahonline
314996,barangbagus
316578,depanlaptop
323770,Khansa Bagshop
326618,toko milenial nusantara
328002,ORTSHOP-ID
329413,jitu
330327,Shopping Again
336674,Maritza OS
340369,Sazanami Tape
342593,ABETS BIKE
351183,Bang Adul Lingerie
355386,Automatic Spare Part
357791,SINAR CAHAYA SHOP
362828,body odour shop
382131,Perwira Technology
382257,Baby Empire
397170,Global Beauty Shop
398143,Bul88 shop
403990,mr hahn olshop
405628,RAFFEL BIKE
409050,MONJALI MAKMUR
412902,Ardni 5758 Motor
416252,TentangOutdoor
418770,Solo Micro
